Course	Room	Teacher	Time	Students
33	SHA410	212	19	8 34 48 78 80 116 224 262 268 282 312 342 416 447 449 461 503 584 627 737 787 804 989 991 1073 1149
546	SHAAUD	227	3	25 52 60 70 84 112 179 284 322 365 469 529 535 605 617 662 686 714 744 831 876 878 979 992 1064 1099 1131
547	CHSAUD	8	5	71 106 230 340 343 395 491 601 671 709 741 742 798 810 841 953 977 1059 1123 1160
36	HLS105	17	10	136 890 1071
549	SHA410	77	13	3 7 12 27 61 70 96 133 184 224 232 238 288 372 385 414 428 445 468 471 528 554 555 561 684 694 711 714 769 783 824 895 905 912 1060 1066 1069 1073 1080 1119 1165 1166
39	CHSAUD	317	12	59 82 328 359 479 549 633 659 838 984 1051 1077 1139
553	HLS105	85	4	103 118 200 241 269 732 739 780 802 867 1003
554	GST103	19	4	384 616 1172
45	SHAAUD	179	4	50 63 109 143 195 208 222 259 388 399 445 472 484 496 538 556 586 589 604 614 619 676 696 718 923 958 968 983 1070 1103 1111 1164
605	HLL7	196	6	
560	SHA217	54	2	93 327 994 1135
563	SHAAUD	261	8	12 14 16 26 35 60 79 85 122 139 154 170 258 282 318 335 380 385 436 443 510 536 537 573 647 656 662 716 759 767 823 824 851 861 933 978 981 1010 1037 1060 1066 1079 1103 1125 1127 1128 1177
52	HLS109	304	8	175 256 464 552 553 577 640 703 915 1061
53	HLL107	36	7	938
692	SHAAUD	330	13	1 26 53 163 186 195 260 303 331 371 450 513 625 642 674 679 721 734 787 878 904 939 1007 1028 1030 1059 1102 1156 1170
58	STO10	157	2	41 53 88 128 140 203 287 342 430 479 549 595 665 670 680 786 843 886 955 967 1024 1036 1053 1062 1179
59	GST103	196	1	75 780 802
60	HLS109	127	10	144 215 336 403 454 894 1170
573	SHAAUD	296	12	147 247 356 406 410 431 477 543 567 757 779 816 913 918 934 953 1012 1045 1074 1117 1176
62	STOAUD	87	8	77 91 108 113 137 157 185 198 240 241 250 259 273 321 379 384 395 418 442 465 484 492 517 522 532 565 676 696 710 712 749 773 800 816 833 884 918 929 983 1011 1020 1070 1089 1102 1164
63	STOAUD	31	3	18 50 55 88 96 100 103 134 137 152 195 211 218 327 374 383 388 393 406 418 422 435 457 459 472 478 518 519 522 530 539 589 620 692 696 798 830 833 861 877 887 888 923 953 988 1012 1033 1043 1063 1089 1109 1135 1143 1144 1176
576	CHSAUD	68	17	13 77 622 673 853 859 860 868 1063
577	HLS109	196	5	27 211 278 407 567 848 1169
684	CHSAUD	261	4	10 43 202 235 354 357 363 385 456 549 606 635 721 723 724 775 785 787 793 907 1044 1094
68	HLL7	180	2	317 367 607 667 796
69	SHAAUD	62	14	77 113 185 258 278 303 321 357 422 439 712 861 950 958 990 994 1005 1016 1063 1107 1176
72	HLS105	21	6	14 35 49 150 396 451 498 675 786 825 828 955 996
585	STOAUD	97	4	40 52 55 58 62 83 84 94 113 131 149 179 191 243 283 291 334 343 360 365 378 424 430 437 459 498 513 539 667 683 746 756 799 819 831 879 910 911 954 959 982 1013 1032 1072 1141 1185
565	STO10	273	3	42 91 148 151 153 169 175 237 279 306 464 480 505 508 523 660 707 720 840 894 903 1001 1067 1121 1128
590	CHSAUD	39	2	5 22 38 66 170 364 414 447 766 891 895 1017 1060 1103 1120 1162 1175 1183
79	GST101	14	7	196 461 463 900 952
81	GST103	174	2	557 874 926 1177
84	STO16	143	4	26 100 119 280 311 323 442 560 730 1062
89	HLL107	159	4	71 106 183 645 741 1000 1059
91	STOAUD	43	11	17 20 28 55 57 119 138 171 190 211 260 284 285 383 432 490 509 535 570 605 637 689 764 813 816 825 887 917 921 942 1008 1027 1035 1041 1055 1091
93	ESTW309	248	4	157 418 422 533 666 773 800 887 909 997 1068
606	ESTW309	180	3	160 345 667 763 817 852 873 963 1014 1038
98	CHSAUD	4	16	4 19 22 49 122 124 154 179 209 222 254 403 469 485 603 626 817 830 935 987 1013 1074 1093 1134
611	HLS109	251	11	90 180 299 315 559 577 586 685 756 863 924 1138
612	GST101	205	9	175 234 464 470 515 703 1061
613	ESTW307	202	17	23 97 407 643 943
102	HLS204	90	3	568 794 1087
615	SHA410	134	10	10 89 100 155 161 166 173 192 203 239 243 277 296 341 342 357 371 404 415 598 614 623 638 645 652 659 670 704 705 764 807 843 846 855 933 961 977 998 1042 1074 1114 1119 1163
106	STOAUD	188	16	6 63 77 93 96 100 109 372 393 492 511 532 569 586 587 697 701 773 879 908 915 933 968 1047 1107 1145 1157
108	STOAUD	105	15	1 29 76 115 127 150 176 312 333 337 358 378 416 468 474 476 510 525 599 659 679 766 854 905 951 961 975 1022 1024 1075 1128 1155 1185
110	OBS	62	3	64 919
111	CHS101	153	4	1 128 169 213 273 355 392 506 525 595 648 655 687 758 786 871 999 1075
115	SHA410	97	5	38 53 64 84 94 122 124 131 133 149 155 166 172 173 190 191 206 212 218 223 252 255 341 354 368 373 374 397 399 402 423 438 449 481 530 572 579 590 629 630 638 650 702 713 726 745 755 806 818 829 844 867 875 895 921 955 961 989 991 998 1006 1041 1057 1105 1116 1132 1165 1181
629	HLL6	104	2	175 334 398 462 686 790 822
118	HLS105	110	1	132 136 540 599 654 704 878 976 994 1071 1096
631	STOAUD	225	1	115 146 147 159 196 208 235 261 283 395 431 439 477 491 518 519 589 636 664 668 692 697 698 810 834 836 837 883 985 1005 1033 1045 1110 1174
632	SHA410	134	4	5 19 23 34 39 68 110 114 116 127 139 162 165 174 209 210 229 312 364 368 386 403 413 447 453 455 461 467 481 500 520 554 585 613 669 678 679 699 727 738 740 750 776 820 825 836 891 912 939 957 987 992 1011 1025 1026 1028 1031 1039 1057 1058 1064 1092 1113 1120 1139 1184
121	ESTW307	41	15	20 47 129 165 251 252 501 633 647 724 874 1064
123	HLS105	170	12	129 225 334 534 592 835 907 1073
124	HLS109	297	7	13 92 433 569 579 714 737
618	CHSAUD	4	9	11 36 169 199 253 270 306 377 413 420 527 542 580 594 750 801 824 876 992 1024 1031 1064 1129 1136
127	HLS108	127	2	133 165 188 209 272 282 436 502 633 702 713 823 978
128	CHS101	87	9	93 102 347 376 435 570 604 666 712 1016 1043 1144 1145 1164 1176
129	ESTW307	118	3	27 293 375 616 711 739 780 899 943 1003
132	STO10	320	19	197 234 337 362 429 465 592 612 715 732 755 808 844 870 897 1051 1147
133	SHA217	27	1	142 347
134	STOAUD	160	14	72 130 142 207 245 444 544 598 600 669 698 718 729 747 804 832 855 865 889 906 936 945 984 1008 1018 1095 1124 1154
136	HLL7	132	1	167 790 838 984
620	HLL107	71	5	313 631
651	STO301	296	1	
140	SHA412	311	6	132 563 667 751 879
655	ESTW309	50	6	71 159 247 522 533 567 589 709 913 1117 1140 1144
144	ESTW307	165	6	64 83 156 266 273 276 277 292 302 305 465 482 548 562 564 626 648 805 971 978 998
536	HLS105	118	5	118 317 375 616 780 802 899 1003 1150
147	CHS101	73	7	178 323 462 525 634 663 665
149	HLL6	292	1	313 422 770 869
662	HLL6	248	3	102 572 781
664	STO16	196	7	32 739 1002
665	HLS109	323	6	198 238 240 374 487 561 654 663 768 785 835 856 888 958 1102 1103 1182
704	SHAAUD	318	11	43 44 204 240 364 371 377 405 408 429 443 542 544 606 623 633 653 658 699 740 758 783 854 880 904 1023 1044 1049 1058
669	STO10	224	5	95 126 151 153 169 237 306 411 475 480 508 514 521 541 552 648 660 894 1001 1025 1086 1118
158	ESTW309	71	7	41 265 570 843 880
709	HLS11	56	1	
160	HLL112	2	1	
163	SHAAUD	82	5	120 125 140 219 284 369 506 526 615 654 708 757 857 873 1172
165	HLL6	105	7	
679	WDS	282	6	
172	STOAUD	257	13	9 35 42 43 44 47 116 127 170 190 210 253 255 290 467 495 542 584 609 638 647 656 662 861 1022 1053 1092 1161 1162 1183
686	CHS101	77	16	14 16 74 221 300 392 659 902 1078 1146 1154
175	HLL201	166	3	315 682 1169
177	CHS104	17	2	217 743 793 940
548	SHAAUD	107	7	46 106 159 164 230 250 332 343 410 491 551 600 601 664 671 672 697 741 810 821 841 883 893 949 988 1054 1110 1140 1160
627	SHA412	112	4	32 206 220 223 438 494 544 735 828
180	HLS105	48	13	17 38 592 704 722 807
181	HLS105	18	11	53 106 203 269 311 394 555 642 730 1174
184	CHS101	76	11	54 363 453 884 975 1116 1150 1184
188	HLS108	39	5	189 281 292 319 505 528 707 889 932 1085
533	HLL201	320	2	244 417 1130
192	SHA410	26	1	2 52 54 56 65 101 107 121 129 192 227 232 244 254 265 266 268 290 304 320 322 330 334 369 399 412 417 455 456 486 555 605 606 641 644 646 730 782 789 822 827 854 855 867 922 952 954 979 996 1014 1022 1037 1041 1094 1105 1108 1122 1137 1167 1171 1178
194	HLL6	292	5	426
707	HLS109	196	2	118 211 277 329 739 751 925 943
197	HLS204	11	2	289 812 848 1019
199	CHS101	239	13	21 122 124 135 151 479 688 745 903 910 1139
202	SHA410	167	7	12 26 39 70 87 174 182 188 199 236 252 258 326 335 381 397 403 421 423 470 523 524 534 540 543 587 602 609 624 626 631 654 657 662 678 779 867 885 901 928 973 1006 1061 1076 1085 1092 1121 1129 1171
204	SHAAUD	54	6	33 41 50 102 126 137 171 241 250 295 303 321 370 379 384 401 565 569 580 593 701 830 858 997 1107
717	SHAAUD	182	17	29 76 144 176 216 249 262 263 275 330 380 428 471 511 550 645 788 826 1000 1024 1026 1116 1161
718	SHAAUD	202	15	75 160 178 204 347 521 889 943 1008
720	SHAAUD	95	18	64 154 171 173 202 223 379 417 564 576 623 627 748 775 789 822 892 940 1014 1050 1099 1122 1148
209	SHA410	230	12	2 28 192 210 213 290 348 398 438 520 574 594 602 635 716 767 792 872 880 954 957 1002 1026 1042 1049 1076 1088 1136 1147 1164
213	HLS109	282	1	42 237 279 341 382 475 480 521 640 803 809 990 1090
214	HLL107	241	6	452 711 982 1169
217	CHSAUD	146	18	215 283 483 554 635 650 723 829 851 894 999 1063
731	HLS108	228	9	99 194 298 835 892 1010 1098
732	GST103	68	3	97 171 319 366 1179
222	HLS204	195	4	29 1179
223	HLL7	170	3	141 222 603 959
224	STO10	18	8	98 129 165 182 213 232 366 372 394 430 502 504 520 578 651 663 713 1086 1088 1107 1166 1170
737	STO207	119	1	
228	SHA412	237	2	221 253 335 349 392 627 639 646 871 983
741	ESTW309	196	9	27 309 719 1018
746	CHS101	218	3	136 186 194 389 390 412 565 655 857 1159 1180
235	HLS109	195	13	69 79 348 435 494 744 886 1036 1047 1049
236	SHA410	74	21	109 268 309 428 468 492 613 658 731 766 774 783 833 905 951 1104
238	STO10	232	15	107 217 275 350 878 1009 1062
239	STO10	133	13	104 108 217 274 391 410 497 516 615 680 753 779 781 812 911 1008 1067 1081
240	STO16	329	5	30 186 320 446 790 1112
244	CHS104	320	1	643 715
603	STO10	85	9	97 179 205 262 535 805 859 860 941 995 1140
249	GIACSWAN	133	2	24
251	CHS101	230	6	128 203 287 333 367 526 547 560 936 941 964 1002 1062 1133
253	GST101	146	6	349 778 869 967 1151 1167
641	HLL112	196	3	118
267	STO10	116	16	8 48 56 76 121 181 212 249 282 326 348 402 502 716 724 735 758 782 844 880 920 937 951 1036 1037 1042 1113
268	CHSAUD	54	15	102 113 157 321 376 379 383 478 666 712 768 858 909 923 1089 1145
557	HLS109	187	9	132 281 437 578 822 936 986
687	STO10	43	12	23 128 361 444 448 683 744 917 974 1011 1048 1068 1084 1135 1145 1174
276	HLL6	186	6	947
277	ESTW309	272	2	7 267 303 426 526 637 720 856 1051 1078
729	HLL112	0	2	
282	ESTW307	122	5	13 92 111 193 301 433 489 490 703 714 731 847 881 928 973 1031 1131 1136
283	WDS	71	2	74 242 579 603 835
290	CHS101	153	1	294 352 545 595 665 705 711 788 871 940 988 1097 1146 1169
292	HLL6	316	4	242 603 646 720
295	SHA410	145	14	7 25 69 76 104 181 197 249 254 295 302 363 406 420 428 455 498 520 542 546 590 629 650 699 724 741 758 787 806 864 874 911 915 960 966 996 1114 1161
297	STO119	38	1	
302	ESTW307	192	13	575 834 883 918 1143
305	STOAUD	67	12	68 78 89 142 201 202 218 284 305 310 337 499 508 604 610 616 644 680 695 746 755 805 807 870 925 926 1120 1180
308	SHA410	304	6	37 51 67 95 101 138 148 153 158 180 184 232 236 256 267 306 307 318 328 353 381 409 411 421 425 464 470 474 493 505 528 532 552 558 559 660 707 756 774 795 797 848 863 924 980 991 1039 1061 1072 1083 1086 1108 1113 1118 1121 1129 1171
309	SHA410	300	20	21 25 42 80 139 143 346 391 443 456 525 591 624 658 677 747 792 924 927 950 1041 1083 1165
310	HLL106	199	3	159
311	STOAUD	241	19	130 146 150 163 253 258 328 348 392 546 553 759 768 871 929 976 1002 1046 1076 1078
312	HLS105	237	9	318 328 474 553 797 881 898 1154
313	SHA410	188	3	3 4 9 11 16 28 34 37 47 125 158 177 204 206 214 233 255 271 285 296 298 300 363 377 380 398 408 425 443 463 467 489 527 531 554 558 581 583 584 585 590 591 624 642 671 673 689 694 734 753 754 776 813 829 851 926 927 949 981 987 1010 1023 1028 1042 1066 1114 1132 1141 1152 1173
315	ESTW307	232	18	33 69 95 105 176 210 350 381 546 574 733 825 903 964 993 1009
318	STOAUD	269	17	160 208 215 433 582 619 652 702 829 848 902 906 934 942 1099
319	ESTW307	238	11	114 483 779 806 821 938 1031 1139 1149
321	SHA410	276	16	104 114 189 640 673 770 970 1032 1149 1173 1174 1182
322	HLL201	0	1	1162
323	ESTW307	44	14	2 15 85 91 144 414 438 487 602 745 776 823 898 1058
324	HLL7	189	4	135 221 898 976
325	STO16	48	9	17 166 380 486 591 807 836
327	STO10	98	14	126 217 234 291 539 641 751 769 793 799 860 888 959 967 982 1102 1119 1126
328	STOAUD	212	7	33 58 82 85 105 120 142 149 264 267 358 365 366 373 391 434 459 477 526 564 630 674 733 860 863 870 897 911 916 971 992 1029 1048 1087 1114 1115 1158
333	STO119	325	3	
336	HLS108	28	1	285 622 693 700 776 912 1093 1175 1177
341	SHAAUD	257	16	25 29 34 158 288 357 391 465 466 471 481 588 625 644 651 709 713 743 747 775 834 909 957 1021 1080 1094 1118 1156 1170
344	STOAUD	248	2	91 107 108 137 143 152 157 196 393 418 435 484 490 499 500 530 532 533 538 572 580 666 763 773 800 877 879 887 908 909 915 971 987 997 1093 1127 1156
740	HLS105	159	2	45 164 250 305 463 491 531 636 837 1110 1123 1172
347	ESTW307	19	10	181 219 359 375 420 439 448 570 615 658 789 857 882 902 907 910 927 964 1044 1111
350	CHS101	88	5	21 176 451 498 516 550 670 688 733 843 967 993 996
352	CHSAUD	182	8	112 266 272 290 333 338 355 485 488 513 677 740 743 769 791 793 856 890 935 955 986 1071
355	ESTW307	83	12	124 224 365 453 754 1017 1039 1177
359	STO14	137	1	
360	CHSAUD	124	11	62 86 89 132 143 214 227 228 275 276 310 351 401 485 540 655 676 742 827 839 1034
572	ESTW307	267	7	145 246 361 389 401 412 565 661 681 736 827 849 1021 1056 1098
363	STO10	189	10	38 43 54 138 139 185 280 466 497 548 588 608 626 725 726 765 768 859 864 895 908 928 945 981 1096 1151
365	SHAAUD	192	2	146 147 208 235 245 395 431 444 460 518 519 539 543 575 673 698 798 810 834 836 883 918 934 977 985 1005 1007 1016 1032 1033 1045 1090 1143
370	SHAAUD	318	9	10 39 72 86 130 135 174 180 227 246 268 350 369 372 401 412 510 599 628 643 717 718 785 868 900 927 984 985 1012 1080 1109 1115 1119
659	STOAUD	180	10	6 7 8 56 65 69 127 130 133 147 182 212 224 383 389 503 536 558 592 618 625 644 657 686 687 722 762 827 839 936 950 1047 1051
574	SHAAUD	85	10	23 205 262 402 450 467 535 601 630 643 792 851 982 1055
374	CHSAUD	168	13	24 297 302 393 455 606 608 715 735 738 746 800 853 877 960 973 974 1091
375	ESTW307	185	1	274 316 360 408 459 563 627 653 663 672 781 817 828 853 1180
377	ESTW309	323	5	112 134 168 291 751 799 890 959 1014 1072 1126
378	SHA217	207	4	187 256 426 577 833
385	CHSAUD	245	6	104 162 439 461 601 699 708 820 839 938 970
386	STO10	201	7	55 119 190 191 205 259 376 377 425 429 432 502 598 650 652 670 694 762 769 831 832 921 985 1044 1088 1113 1163
747	HLS108	166	4	37 112 272 330 369 436 501 537 576 688 771 781 993
388	STO10	15	4	56 72 123 204 245 387 477 567 599 605 651 665 675 691 757 777 856 917 925 935 1036 1081 1095 1124 1178
736	GIACSWAN	311	1	583
395	GST101	241	4	59 194 320 349 417 452 639 902 1148 1154
396	OBS	330	2	15 311 896
399	CHSAUD	293	1	22 66 67 78 297 483 728 735 737 881 896 905 1043 1104 1136 1150 1183
401	WDS	14	4	415 636 1122
610	SHA412	179	5	533 620 763 983
406	WDS	317	3	57 346 549 785
407	SHA412	239	3	278 287 869 952 1151 1167
408	STO16	21	1	74 79 150 163 342 494 517 1082
580	HLS108	1	7	74 168 485 743 890 991 1071
411	STO16	56	2	82 183 231 292 307 319 505 797 995 1038 1085
412	STOAUD	27	5	6 18 24 63 72 109 152 222 225 241 298 347 370 388 416 431 445 484 496 500 511 517 537 555 556 583 586 587 593 604 608 646 664 710 746 824 845 864 904 908 929 952 971 1005 1047 1074 1093 1111
581	HLL107	254	1	255 454 536 722 767 777 876 1157
416	STO10	169	17	57 88 152 168 218 310 388 476 500 543 548 706 799 956 958 964 1158
432	GST101	54	5	160 619 946 962
433	CHS101	61	2	205 264 281 361 390 514 569 608 620 634 849 862 932
436	SHAAUD	297	1	87 183 187 189 231 281 292 307 319 474 528 577 581 703 707 797 859 889 932 995 1038 1083 1085
437	HLS108	132	6	30 167 207 289 368 437 550 641 737 791 832 935 1068 1163
438	CHS104	323	3	95 101 131 1050
439	CHSAUD	61	14	297 313 324 594 618 656 728 738 755 929 1025 1039
440	CHS101	171	8	62 145 173 194 219 294 349 390 742 815 900 976 1056 1126
442	ESTW309	300	1	48 221 346 384 468 582 688 910 924 1077
443	STO16	90	6	103 200 239 298 582 680 896 1172
444	HLS109	75	3	483 509 563 855 933 937 962 1027 1098 1155
445	SHA410	88	9	1 14 20 22 28 101 183 206 238 249 446 463 574 588 590 602 687 762 872 947 966 999 1023 1027 1037 1040 1131 1155 1158 1171 1179
454	STO10	290	6	62 86 123 145 246 275 294 320 389 540 615 655 661 681 695 742 788 815 852 900 1056 1109 1112 1159 1180
714	SHA410	67	17	47 68 81 302 456 695 701 704 725 736 806 821 884 937 940 1120 1122
457	SHAAUD	46	19	65 66 162 199 212 225 399 441 625 675 678 722 725 749 771 792 1066 1157
458	STO10	276	1	93 114 168 223 276 557 620 771 841 1052
459	HLS105	7	3	41 192 216 272 920
460	SHA410	71	18	49 233 263 296 310 326 579 636 676 684 686 721 725 926 939 965 970 1070 1132 1153 1183
462	CHS101	238	12	271 295 367 390 446 557 849 922 1052 1149
466	STOAUD	266	18	12 94 144 199 234 254 340 341 370 373 378 447 448 470 486 488 503 522 527 614 630 726 744 830 919 934 950 975 1011 1016 1048
675	SHAAUD	76	20	188 202 546 560 795 868 961 1060
474	HLL107	189	3	501 545 752 1078
476	STOAUD	254	20	3 116 191 312 387 536 762 782 801 872 1132 1150 1156 1157
477	GST101	233	1	51 90 267 289 396
478	SHA410	33	8	4 9 13 37 90 111 125 141 184 215 280 336 359 386 423 507 508 631 632 637 687 752 754 756 813 847 885 891 912 925 975 1046 1069 1184
479	CHSAUD	329	3	66 68 240 386 387 415 423 453 717 989 1046
481	CHSAUD	259	10	36 300 304 409 419 421 516 559 617 632 820 1035 1040 1057 1138
482	HLL106	294	1	186
483	HLS105	218	7	2 695 884 956
484	CHS101	30	14	70 336 419 885 920 965 1034 1175
487	STOAUD	78	9	155 209 225 252 259 327 331 332 355 404 406 466 506 513 518 541 568 637 677 705 708 726 772 791 798 821 832 838 862 864 888 897 906 937 953 1000 1053 1068 1117 1134 1135 1141 1143 1159
489	HLS108	43	3	31 404 437 811 838 846 886 1091
492	SHA412	101	7	641 788
495	GST101	29	3	98 119 207 311 356 430 866
500	STO10	137	11	71 148 248 332 340 355 367 410 506 551 645 664 672 697 709 893 998 1000 1054 1059 1140 1160
545	SHA412	228	1	264 568 628 684 701 717 857 916
502	HLL107	259	2	10 197 419 425 537 803 1040
596	GIACSWAN	30	3	748 922 1075
689	CHS104	36	4	15 572
