Students	1153
746	585 412 651 374 305 651 
747	134 19 309 341 108 684 359 359 359 359 359 
555	549 181 412 651 192 651 
554	549 359 313 632 217 359 359 
557	81 462 458 
556	412 45 24 29 662 
551	322 322 322 500 548 
550	437 717 350 
553	312 311 52 
552	669 308 52 
238	665 549 445 29 
239	615 443 
234	466 327 132 612 163 239 
235	19 684 631 365 224 333 522 302 
236	737 709 709 202 308 737 
237	669 213 565 514 679 574 603 
230	547 322 322 548 651 651 651 
231	411 436 
232	549 308 224 192 
233	313 460 359 359 
1050	438 720 
1051	659 277 132 39 388 459 620 239 
1052	462 458 
1053	487 58 172 9 
1054	500 548 
1055	19 91 12 574 
1056	454 440 572 160 160 
1057	115 632 481 
1058	323 704 359 632 359 359 
1059	89 547 692 500 
992	618 632 546 328 
1	692 111 108 445 359 714 359 359 
614	466 172 172 615 45 359 359 
146	311 322 322 322 631 365 528 
147	659 631 365 573 
144	466 323 717 60 
145	440 454 572 
142	134 305 328 133 318 
143	360 309 344 45 128 305 
140	58 163 
141	709 223 709 478 
612	132 
613	236 359 651 632 651 359 
610	305 
616	554 305 536 129 
617	481 546 
148	500 308 565 
149	585 115 29 328 
1007	692 365 333 333 
912	549 632 336 478 359 359 
1139	199 39 632 319 458 
1006	115 202 
951	7 236 267 108 416 720 
1005	631 365 412 69 63 204 573 302 
1082	408 9 
949	548 313 333 522 333 729 729 
946	7 29 432 
947	445 276 
944	29 
945	363 134 19 
942	91 359 318 359 
943	707 129 613 718 
940	290 177 720 714 
941	251 603 
768	665 363 311 268 45 63 
689	91 313 651 651 
688	442 199 747 350 546 
685	611 516 
684	545 549 535 460 359 359 
687	659 322 322 111 445 478 
686	659 629 460 546 
681	454 572 17 12 
680	58 443 305 239 
683	585 7 687 29 
682	175 
622	336 359 576 359 
133	115 659 549 127 98 445 238 
132	118 360 557 140 
131	115 585 7 438 720 192 
130	659 134 311 370 19 236 
137	737 344 62 63 204 651 737 651 
136	118 36 746 
135	7 324 370 199 165 720 
134	377 63 
494	627 235 408 
495	26 709 172 709 359 359 
139	709 363 309 709 563 632 209 
138	363 308 91 
490	282 91 344 651 651 22 
491	547 322 322 631 548 333 740 333 
492	236 21 62 106 355 
493	21 308 
24	737 412 651 737 374 651 651 249 
25	295 309 341 546 
26	692 84 202 563 15 
27	549 129 741 577 
20	121 359 91 445 359 359 
21	199 309 350 4 
22	709 98 709 399 590 445 15 
23	737 687 651 737 632 574 613 651 
28	91 313 209 445 675 385 
29	717 341 108 222 720 192 
407	17 3 613 577 
406	487 295 63 573 458 
405	359 704 359 
404	487 615 651 651 489 651 
403	98 202 632 60 439 
402	115 737 267 516 651 737 651 574 613 
401	370 360 572 204 
933	563 615 444 106 359 385 359 
932	188 436 651 433 651 651 
937	487 737 267 444 651 737 714 651 
629	115 295 29 
409	98 98 308 481 
408	709 704 709 313 375 
1069	709 549 709 651 478 651 
628	737 545 370 651 737 651 
1068	487 437 93 687 62 63 147 
758	295 297 267 111 297 704 
1178	388 192 
1018	134 28 741 
379	268 62 204 720 
378	585 466 7 108 
829	115 313 217 359 318 359 
828	627 19 72 375 664 
1060	709 549 709 322 322 322 563 322 590 675 385 
371	7 704 692 615 305 
370	466 412 204 651 651 
373	115 466 29 328 
372	549 370 224 106 69 63 720 
375	347 129 536 
374	115 665 63 651 514 239 651 
377	704 618 386 313 192 
376	386 268 128 
1019	197 9 
708	487 163 385 
709	547 655 341 500 365 63 416 458 
1176	128 69 63 573 
704	118 180 615 714 4 
705	487 290 27 615 111 474 91 
706	7 416 
707	308 436 188 565 
700	709 709 336 359 359 
618	659 359 439 359 359 359 
702	115 127 359 359 318 359 
703	612 52 436 282 516 321 22 
393	344 106 63 651 374 651 651 
392	228 686 311 111 651 651 
88	15 58 63 416 632 163 
89	454 360 454 615 305 
397	115 202 
396	72 477 
395	547 322 322 365 631 62 106 729 729 302 
394	181 224 
82	39 411 328 
83	585 7 144 24 328 
80	15 737 737 33 309 651 737 651 651 
81	15 535 714 
86	543 370 360 454 
87	202 436 
84	115 585 546 29 
85	15 323 563 328 
797	312 308 411 436 
796	68 
795	308 675 
794	102 
793	352 177 327 618 618 684 
792	309 457 359 209 574 613 359 
791	487 7 352 437 134 238 
790	240 136 535 629 
1170	709 692 341 709 709 224 60 15 
799	585 377 327 416 
798	487 547 365 63 573 321 
7	659 549 277 295 563 313 664 
601	547 548 574 729 729 385 
607	68 
586	611 412 106 45 63 481 
587	202 412 106 
584	33 172 615 615 313 15 
585	737 737 313 651 737 632 651 
582	442 443 318 
583	412 313 651 651 736 
580	737 618 344 204 651 737 651 
581	436 313 22 
1133	251 
1132	115 476 359 313 460 445 359 359 359 
1131	282 445 546 22 
1130	533 
1137	192 
1136	618 399 282 209 22 
588	7 363 341 313 313 445 359 359 
589	655 631 45 63 333 239 333 
245	134 19 388 365 573 302 
244	533 192 
247	655 573 
246	370 454 572 
241	62 412 204 553 741 
240	665 704 62 479 
243	585 615 
242	283 292 
615	347 454 163 239 
249	295 717 267 445 459 350 
248	322 322 500 
924	442 611 309 172 172 308 
970	528 460 321 385 
925	388 305 478 707 577 
519	19 631 365 63 128 333 333 
518	487 631 365 63 573 319 
926	737 737 81 313 737 305 460 714 
1009	315 238 
1008	134 91 313 313 239 718 
511	717 19 412 106 204 
510	7 370 322 563 322 108 457 239 
513	585 487 352 692 305 
927	737 737 370 347 309 313 737 714 
515	612 
514	669 528 433 
517	26 408 412 62 238 460 
516	350 481 239 
623	7 704 615 720 192 459 
459	585 63 375 328 560 432 
620	63 333 433 458 610 333 
627	228 33 720 375 
626	144 363 98 202 313 
625	659 457 692 341 388 359 359 
624	309 202 313 24 477 
450	692 574 
451	313 313 350 72 9 
452	214 395 
453	632 355 184 479 359 359 
454	581 60 15 359 359 
455	295 632 192 374 576 
456	309 297 684 192 297 714 
457	63 15 
1084	687 
979	192 29 546 
179	585 98 546 603 574 
178	147 718 
177	737 313 651 737 651 651 
176	717 108 315 350 
175	612 52 629 313 313 565 528 15 
174	370 202 632 
173	115 440 615 720 192 
172	115 734 160 160 
171	732 91 204 720 192 328 
170	709 172 709 563 590 
977	15 547 322 322 322 615 365 631 63 333 302 333 
656	172 563 439 359 359 
975	466 108 184 478 359 359 
974	737 737 687 651 737 374 651 
973	535 202 282 374 
1081	388 359 239 359 
971	144 412 344 328 
657	659 202 28 29 460 
654	118 665 202 163 
253	228 311 618 172 474 
978	144 127 563 359 359 
182	659 15 202 224 576 
183	89 411 436 445 
180	709 611 370 709 308 
181	7 295 347 267 108 111 123 313 313 460 184 479 460 
186	482 240 692 746 
187	378 436 516 
184	549 308 478 
185	7 363 69 62 184 714 
886	58 235 489 
652	15 322 322 615 386 318 
188	127 202 359 675 359 
189	308 308 436 188 516 321 
1122	720 192 401 714 
658	236 309 347 704 4 
653	15 7 375 704 
1110	631 548 740 729 729 
1123	547 651 740 729 651 729 
650	115 295 386 217 
1124	134 388 
651	737 341 388 224 651 737 651 
1125	26 709 709 709 563 
1148	395 720 
1089	268 62 63 
764	322 322 322 615 91 729 729 
1088	386 224 209 
11	618 359 313 15 359 
10	502 370 618 618 615 684 209 
13	124 282 313 313 313 478 576 22 
12	466 549 563 202 
15	323 396 689 
14	686 563 445 72 
17	180 325 21 359 91 514 478 359 
16	15 686 563 313 574 603 
19	15 98 313 313 632 
18	737 737 618 618 412 63 737 651 514 651 651 
863	611 308 328 12 
862	487 433 
865	134 28 
864	487 363 295 412 344 204 359 359 
867	115 202 192 553 
866	495 
884	62 651 184 483 714 651 
938	53 319 385 
659	686 39 108 615 184 328 
883	322 322 365 631 548 302 729 729 
753	313 239 
881	312 399 282 22 
880	704 267 158 209 217 
887	322 322 93 91 344 63 651 651 574 
831	585 386 546 
885	26 202 484 478 318 
752	709 709 474 15 478 
928	363 202 282 516 209 445 22 
62	585 454 440 360 572 163 
888	487 665 327 359 63 60 359 
1012	370 63 573 
1032	585 322 322 365 333 321 333 
950	659 466 309 69 
756	585 611 308 478 328 
1179	58 732 222 445 
929	311 412 62 439 
809	213 
322	192 546 29 
323	84 147 
320	240 395 454 192 
321	268 69 62 204 651 374 651 
326	267 202 460 514 29 401 401 318 
327	487 63 560 
324	709 709 709 297 439 359 297 359 
328	312 311 39 308 479 
329	734 160 160 707 
759	709 311 709 563 359 359 
201	27 305 4 
200	443 553 
203	58 615 181 251 445 
202	684 720 675 305 714 
205	386 651 359 433 651 574 359 603 
204	704 388 313 359 359 718 
207	7 437 134 495 535 458 
206	115 627 359 313 445 704 359 
209	487 127 98 632 209 478 574 
208	631 365 45 333 333 318 
779	322 202 322 573 319 239 
778	253 29 
889	134 436 188 718 
77	62 106 69 576 610 
76	717 295 297 267 108 684 192 445 297 
75	59 718 
74	580 686 408 283 292 620 
72	134 370 388 412 651 651 
71	89 547 655 500 63 
70	549 202 546 484 
655	360 454 111 746 603 
79	7 235 618 618 563 408 445 481 546 238 
78	709 709 33 709 709 399 305 3 
2	323 209 192 483 
1042	267 615 313 209 192 514 
1041	115 309 91 192 160 328 576 160 
1040	502 445 514 481 
1047	659 235 106 412 344 45 204 
1043	399 128 63 514 
1045	631 365 573 
1044	347 704 386 684 479 
1049	7 235 704 209 459 445 238 
1048	466 687 29 328 
805	144 514 305 603 
804	737 134 33 651 737 651 
1143	487 365 63 333 302 333 
1140	655 500 548 603 574 
1141	585 487 27 313 
1146	290 686 
1147	132 209 
669	737 134 297 297 632 651 737 297 651 
668	631 
667	585 606 68 140 
666	93 268 344 128 192 239 
665	290 58 388 147 238 
664	500 631 548 412 63 574 302 
663	665 224 147 375 557 
662	172 563 202 546 29 
661	454 572 
660	7 669 308 565 
769	352 549 327 386 632 209 29 359 576 385 359 
692	631 63 333 333 
693	709 322 709 322 359 313 313 313 336 359 
691	388 
696	21 62 45 63 
697	500 631 106 548 489 
694	7 549 386 313 192 
695	454 305 714 483 
698	134 365 631 333 29 478 302 333 
699	295 704 632 385 
542	295 704 618 172 267 615 192 209 
543	202 365 416 573 
540	118 360 454 202 
541	487 669 528 9 
546	311 295 315 675 718 
547	251 
544	7 627 134 704 459 603 718 
545	290 474 24 
8	659 7 33 267 684 69 204 209 
548	7 144 363 416 662 
549	58 39 684 406 720 238 
68	632 479 305 359 714 359 359 
598	134 19 615 386 224 445 15 359 359 
995	21 411 436 603 574 
869	253 149 407 
997	93 344 204 160 9 160 
996	295 192 350 72 9 
991	115 580 33 308 313 481 
990	15 213 69 
993	747 315 350 
868	7 370 675 576 
999	7 111 445 217 
998	115 144 500 615 548 
120	328 163 
121	297 267 192 297 
122	115 199 98 563 481 
123	454 388 160 160 
124	115 199 98 355 479 375 
125	737 313 651 737 478 163 651 
126	327 669 204 528 481 
127	659 172 108 632 478 
128	58 111 687 251 731 350 
129	121 123 224 192 445 
765	363 15 
1016	466 365 128 69 63 573 714 302 
1128	563 108 565 29 460 
1010	322 563 322 313 731 359 359 
1011	466 737 687 62 651 737 632 321 641 651 
414	26 549 323 590 318 
415	535 615 479 401 
416	33 21 108 412 192 305 484 3 
417	395 533 720 192 
410	500 548 573 239 
411	709 709 21 669 308 528 445 
412	370 572 192 746 
413	618 632 15 359 359 
920	267 459 484 
498	585 295 350 72 328 
922	7 192 596 462 319 239 
923	322 322 268 45 63 
418	93 344 62 63 
419	502 481 484 
776	323 313 632 336 
499	359 344 305 15 359 
319	411 732 436 188 53 305 553 
318	312 21 563 308 399 632 194 546 
313	7 313 313 620 439 149 
312	476 33 108 632 546 
311	495 396 84 181 720 
310	360 416 460 305 
317	68 536 
316	375 
315	7 611 535 175 477 574 603 
1028	692 313 632 359 359 
1177	81 563 355 336 359 359 
861	172 563 359 69 63 359 359 359 359 
921	115 386 91 651 651 
1126	377 327 440 
1181	115 7 24 29 238 
496	21 412 45 
1134	487 737 98 651 737 651 
832	487 437 134 386 62 
833	236 378 62 63 516 
830	466 737 98 63 204 737 651 651 
497	363 24 239 
836	325 631 365 632 729 729 
837	322 322 322 631 740 729 729 
834	341 365 631 333 333 302 310 
835	665 123 283 731 
838	487 136 39 160 489 160 
839	659 360 385 
808	132 
3	476 549 313 
725	363 460 457 714 
368	115 7 437 632 546 
369	370 747 192 163 
366	732 224 328 
367	68 500 251 462 163 603 458 
364	709 709 709 590 632 374 374 704 
365	585 355 546 328 704 
362	737 737 132 322 322 322 737 
363	295 359 684 313 184 359 
360	585 160 375 160 
361	572 687 433 
959	585 377 223 327 
1168	24 
1138	611 308 308 481 
952	412 192 79 407 707 
882	7 347 
380	717 325 563 313 359 359 
381	202 308 315 514 374 
382	213 
383	659 268 91 63 69 204 
384	442 554 62 204 328 
385	7 549 563 684 514 336 3 321 385 
386	632 479 478 359 359 
387	476 388 479 359 359 
388	412 45 63 416 651 651 
389	659 454 440 440 572 746 
784	308 308 24 
785	665 370 684 406 
786	58 111 72 
787	295 33 692 684 
780	536 129 59 553 605 
781	747 375 239 662 
782	476 267 192 
783	7 549 704 236 615 385 
788	290 717 454 492 433 
789	7 347 720 192 328 
1174	181 631 687 333 321 333 302 
860	327 328 603 576 574 718 
605	388 91 192 546 
579	115 283 124 460 445 
578	224 557 
604	412 128 45 305 
573	297 322 563 322 297 359 359 
572	115 344 689 662 
570	347 158 91 128 45 1 
577	611 378 52 436 
576	747 720 297 297 
575	365 333 333 302 
574	315 209 445 160 15 29 160 
60	563 546 29 
61	549 516 5 
258	311 563 202 69 416 
259	487 386 62 45 412 651 484 651 458 
64	115 144 720 110 
65	659 457 192 
66	709 709 399 590 479 457 
67	308 399 
252	115 487 121 202 359 359 359 
69	659 295 235 315 687 344 106 
250	709 709 548 62 204 740 729 729 
251	121 322 322 359 359 
256	308 378 52 516 
254	466 295 98 192 29 
255	115 581 172 313 439 
603	223 98 283 292 29 557 163 
1172	554 443 333 163 740 333 
602	323 202 209 445 
939	692 632 460 359 359 
731	236 282 359 22 359 
730	15 84 181 192 328 
733	315 350 328 
732	7 132 313 313 553 12 129 536 
735	627 267 399 374 
734	692 322 322 313 15 359 359 
508	669 565 305 478 
509	444 91 651 651 
506	487 500 111 163 714 
507	737 21 651 737 514 478 651 
504	224 
505	308 411 188 565 
502	127 267 386 224 63 445 359 359 359 
503	659 466 7 33 341 341 
500	322 322 412 344 416 632 359 359 
501	121 747 474 297 297 
630	115 466 328 574 
631	202 620 478 
632	24 481 478 
633	121 39 127 704 202 308 399 
469	98 546 
468	442 549 236 108 313 60 
636	631 333 401 460 740 333 
637	487 737 737 737 277 91 651 737 478 651 651 
465	144 132 341 62 192 
464	308 612 52 565 516 
467	172 313 632 359 574 359 
466	487 7 363 341 192 
461	33 632 79 359 385 359 
460	322 322 365 333 333 
463	313 445 79 740 729 729 
462	629 147 
901	202 
168	377 580 416 458 
169	618 669 111 565 
164	322 322 548 333 740 333 
165	121 127 224 632 209 
166	115 325 615 4 
167	737 136 437 27 737 651 651 651 
160	606 432 718 318 
161	7 615 9 
162	457 632 514 385 
163	7 311 692 408 224 412 704 
964	347 315 416 251 192 238 741 
965	484 460 
966	7 19 295 445 184 355 479 
967	327 58 253 350 492 149 
960	709 295 709 374 359 359 
961	115 615 108 675 29 
962	7 444 432 
963	606 
1129	618 202 308 516 
968	322 322 106 45 
936	659 134 251 557 163 
1107	224 106 69 204 514 613 
1104	26 709 236 709 399 
1105	115 192 514 
1102	665 327 692 62 63 
935	352 437 98 388 28 
934	466 365 573 318 
908	363 344 412 106 
1108	7 308 192 
1109	454 370 63 333 333 
909	341 93 268 344 412 204 
1096	118 363 27 17 
1090	322 322 213 365 528 
1091	737 737 91 651 737 374 651 489 651 
600	134 322 322 548 333 333 
878	118 692 546 238 
879	585 737 344 106 737 651 651 140 
876	581 26 618 546 
877	63 344 651 374 359 651 359 
874	81 121 295 15 318 
875	115 
872	7 476 445 209 192 184 479 374 318 
873	606 163 
870	132 305 328 
871	290 228 311 322 322 111 651 651 
1155	7 108 444 445 319 276 318 
1154	312 134 395 686 692 350 433 
9	7 172 313 478 319 458 
1158	416 445 328 
1157	581 476 457 359 106 69 62 305 359 359 576 
890	352 377 36 580 557 276 
891	709 172 172 709 322 322 590 632 15 478 704 
892	720 731 
893	322 322 322 500 548 522 
894	669 565 60 217 478 
647	121 172 563 359 359 
896	396 21 399 443 460 
897	487 132 27 328 
898	7 323 312 324 311 72 
899	129 536 
1087	7 102 328 
646	228 292 412 192 147 276 
1116	115 717 313 313 184 15 359 359 359 
1099	720 546 532 318 321 
649	359 359 359 
1153	21 359 514 460 359 
648	7 144 669 111 565 192 478 
1152	737 313 737 651 29 651 
1086	669 308 224 528 481 318 
357	341 615 359 684 69 479 359 359 
356	495 573 
355	487 352 322 322 500 111 548 9 
354	115 7 684 
353	21 308 516 
352	290 160 160 
351	360 
350	370 535 315 238 328 163 
803	502 213 528 
802	553 59 536 
801	476 618 359 359 
800	93 62 344 374 741 
807	180 325 615 305 321 385 
806	115 295 319 714 321 
359	39 347 478 
358	108 28 328 
216	717 459 
217	177 327 238 239 
214	7 360 313 514 
215	359 60 217 478 318 359 
212	115 659 267 359 457 359 359 
213	111 224 209 
210	172 322 322 315 632 209 
211	91 63 160 707 577 160 
762	659 476 386 445 217 576 
763	606 344 610 
761	24 
766	709 236 709 709 108 359 590 15 359 
767	15 581 563 209 
218	115 63 416 305 328 133 
219	440 347 163 
957	15 709 341 709 709 632 209 359 359 359 
956	416 483 
1033	631 365 63 333 333 
1169	214 290 175 577 707 
1078	277 686 311 474 
1079	709 297 709 563 297 
1076	311 202 209 
1077	442 543 39 
1074	98 615 412 573 
1075	108 111 596 
1072	585 377 308 
1073	7 549 33 123 675 714 
1070	737 45 62 737 460 
1071	118 352 36 580 277 223 45 163 
289	437 197 477 
288	7 549 341 21 313 313 
1003	553 536 129 
4	98 359 313 15 478 359 
281	436 188 557 433 553 
280	363 84 359 478 359 
283	585 631 333 217 333 522 577 707 310 
282	33 127 267 563 202 181 
285	91 313 336 359 359 
284	737 91 737 651 305 546 163 714 651 651 
287	58 251 407 
1094	341 684 192 29 603 574 
1095	134 388 
1083	737 737 309 308 436 528 737 514 
1097	7 290 
678	457 202 632 359 359 
679	26 692 108 632 336 
1092	15 172 202 632 
1093	98 359 344 412 336 359 
674	7 692 24 328 
675	297 388 297 72 457 
676	360 62 45 460 375 163 613 718 
677	487 352 27 309 28 651 350 651 
670	58 615 386 350 
671	547 548 313 333 514 333 740 
672	500 548 375 
673	322 322 322 365 313 333 321 576 333 
263	737 717 651 737 460 651 
262	737 737 717 33 651 737 651 651 574 603 
261	322 322 631 333 333 
260	19 692 21 91 651 251 445 651 
267	277 308 477 328 
266	144 352 192 24 
265	158 192 
264	545 328 433 
1121	202 308 565 
1031	618 282 632 319 
269	535 181 553 
268	370 33 236 192 714 
701	545 106 204 714 
59	395 39 
58	585 17 328 
55	585 386 91 63 651 651 651 718 
54	363 192 514 184 
57	7 406 91 416 192 328 
56	659 267 388 192 385 576 
51	308 374 477 374 
50	45 63 204 333 333 
53	115 58 692 181 192 
52	585 7 192 546 603 574 
537	502 747 563 412 106 63 204 675 29 439 
536	659 581 476 563 313 355 217 
535	91 546 603 574 577 707 
63	106 45 412 651 1 651 
533	655 93 344 610 
532	308 344 62 106 514 
531	322 322 313 729 740 729 
530	115 344 63 651 651 
539	585 327 365 63 573 460 
538	15 737 344 45 651 737 651 
987	98 344 313 632 29 457 359 359 
775	341 684 720 
988	290 322 322 548 63 9 
989	115 33 479 359 359 
1171	202 308 192 445 481 
774	236 308 
982	585 214 327 574 603 129 536 
983	228 62 45 610 
980	308 516 
981	363 563 313 359 359 
986	352 557 
777	581 26 709 709 709 388 15 478 
984	136 134 370 39 347 163 605 
985	370 386 365 631 687 333 302 333 
115	108 631 333 333 
114	737 651 737 632 319 321 651 458 
117	28 
116	476 33 172 632 29 
111	282 15 478 
110	737 651 737 632 651 651 
113	585 268 62 69 29 
112	377 352 747 546 
771	747 297 359 297 457 359 458 359 
119	495 84 386 91 651 651 
118	641 553 707 536 
770	149 321 
773	93 62 344 106 
772	487 27 532 
953	487 547 63 573 
429	7 704 132 386 615 111 479 
428	549 717 295 236 684 313 720 192 603 574 
534	202 123 460 514 460 
919	466 110 
918	322 322 322 365 62 573 302 
421	7 202 308 481 477 
420	295 347 618 514 
423	115 202 479 478 714 
422	93 69 63 149 
425	502 386 308 313 355 217 29 478 
424	585 737 651 737 651 
913	655 573 
426	277 21 378 194 
309	236 651 651 741 
855	134 98 98 615 444 192 462 532 249 
300	686 313 481 
301	282 22 
302	144 295 374 359 714 359 
303	277 692 69 204 328 
304	7 313 313 192 481 
305	144 322 322 305 729 740 729 
306	618 669 308 565 481 
307	308 411 436 
895	115 709 363 549 709 709 590 478 
825	737 737 315 91 651 737 632 72 651 651 
824	549 618 563 412 63 416 
827	659 360 572 192 675 
847	282 478 22 
846	615 489 
845	412 9 
826	15 737 737 717 651 737 651 651 
843	58 615 158 350 
842	543 
841	547 548 458 729 729 
840	565 
1151	363 253 407 
821	487 548 333 651 319 714 458 729 729 333 651 
853	7 375 374 576 664 
849	572 462 532 433 458 321 385 
820	632 481 29 385 
823	15 323 127 563 444 460 321 
822	629 720 192 557 483 
1164	128 45 62 209 458 
954	585 19 209 192 160 457 160 
1034	454 360 454 484 
1127	21 563 344 514 546 704 
1159	487 454 17 746 
1165	115 15 549 309 479 478 359 359 359 
1038	606 411 436 
1039	308 632 355 374 374 439 
1046	311 19 479 478 704 
1166	737 549 322 322 322 224 651 737 651 651 
568	487 545 102 19 39 165 15 
569	124 106 204 433 
751	377 327 140 707 
750	709 618 709 709 632 15 
757	322 322 388 573 163 
737	437 33 399 124 282 209 319 22 
755	115 132 305 439 714 
754	297 313 297 297 355 478 359 359 359 
560	84 251 675 9 
561	665 549 308 308 
562	7 144 29 
563	7 444 375 140 
564	144 720 328 
565	572 62 204 746 
567	655 388 573 577 707 
739	129 707 553 664 536 321 
229	26 359 632 359 
228	7 360 
227	370 360 535 192 714 
226	313 313 359 359 
225	487 123 412 457 359 359 
224	659 549 33 618 618 355 
223	115 627 720 458 
222	223 98 412 45 651 305 483 651 
221	442 228 324 686 311 460 462 
220	627 
1001	669 313 313 565 
1024	58 717 618 108 192 209 
1027	737 737 19 444 91 651 737 445 651 651 
1026	717 313 313 632 209 29 
1021	341 535 572 
1020	359 62 359 359 
1023	704 313 445 15 
1022	7 172 108 313 313 192 
1036	58 235 267 388 158 
1184	632 184 478 359 359 
1115	370 28 328 
1029	19 27 328 
391	309 341 328 239 
